No.;NIT;RAZON SOCIAL;SUPERVISOR;REGIÓN;DEPARTAMENTO DOMICILIO;CIUDAD DOMICILIO;CIIU;MACROSECTOR;"INGRESOS OPERACIONALES
2018*";GANANCIA (PERDIDA) 2018;TOTAL ACTIVOS 2018;TOTAL PASIVOS 2018;TOTAL PATRIMONIO 2018;"INGRESOS OPERACIONALES
2017*";GANANCIA (PERDIDA) 2017;TOTAL ACTIVOS 2017;TOTAL PASIVOS 2017;TOTAL PATRIMONIO 2017;GRUPO EN NIIF
883;860521658;PERENCO OIL AND GAS COLOMBIA LIMITED;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;B0610 - Extracción de petróleo crudo;MINERO-HIDROCARBUROS;1804363360;656402190;2590965140;1014833640;1576131500;1832366290;280501920;2761474370;$ 1029734920;1731739450;NIIF PLENAS-GRUPO 1
884;900519421;INVERSIONES GREIDINGER ANGEL SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;SERVICIOS;4812414790;4264035060;5496932740;563455990;4933476750;23086120;8232270;388594330;$ 31017020;357577310;NIIF PYMES-GRUPO 2
885;890908649;SUN CHEMICAL COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA;C2022 - Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas;MANUFACTURA;1803441870;21460120;1918127160;1157199400;760927760;1688232560;-6208610;1783431140;$ 1071622140;711809000;NIIF PLENAS-GRUPO 1
886;900521357;JMV CONSTRUKTORA SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;F4290 - Construcción de otras obras de ingeniería civil;CONSTRUCCIÓN;1695836390;132337370;1413249140;1154540650;258708490;1791790;1791790;774429220;$ 620709160;153720060;NIIF PYMES-GRUPO 2
887;800055116;CALYPSO DEL CARIBE S.A.;SUPERSOCIEDADES;Bogotá - Cundinamarca;CUNDINAMARCA;TOCANCIPA-CUNDINAMARCA;G4729 - Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados;COMERCIO;2460374500;134283260;862290090;574060700;288229390;1886348850;64367500;602922730;$ 435376590;167546140;NIIF PYMES-GRUPO 2
888;805029321;CARIBE SA;SUPERSOCIEDADES;Costa Pacífica;VALLE;JAMUNDI-VALLE;G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco;COMERCIO;1649395260;16873430;416289580;253539970;162749610;1509214790;10525870;397917270;$ 252041100;145876170;NIIF PLENAS-GRUPO 1
889;890318919;VALLECILLA B Y VALLECILLA M;SUPERSOCIEDADES;Costa Pacífica;VALLE;CALI-VALLE;G4690 - Comercio al por mayor no especializado;COMERCIO;1719326670;52574250;2409906170;1586609190;823296980;1563944830;94513160;2212275550;$ 1429378650;782896900;NIIF PLENAS-GRUPO 1
890;830010738;C.I. SUNSHINE BOUQUET S.A.S;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;A0125 - Cultivo de flor de corte;AGROPECUARIO;4598076470;67582770;4667876540;2819178890;1848697650;3995183930;79885330;2408006870;$ 1930306730;477700140;NIIF PLENAS-GRUPO 1
891;800230447;SODEXO S.A.S.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;I5619 - Otros tipos de expendio de comidas preparadas n.c.p.;SERVICIOS;4871634410;108218140;1218782920;956212050;262570870;4729006760;129846990;1076584170;$ 922231440;154352730;NIIF PLENAS-GRUPO 1
892;890301054;TORRECAFE AGUILA ROJA Y CIA SA;SUPERSOCIEDADES;Costa Pacífica;VALLE;CALI-VALLE;C1062 - Descafeinado, tostión y molienda del café;MANUFACTURA;1755108220;152614060;1928922330;466701870;1462220460;1707139090;137272780;1960143330;$ 279338900;1680804430;NIIF PYMES-GRUPO 2
893;800067065;PROMOTORA MEDICA LAS AMERICAS S A;SUPERFINANCIERA;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA;Q8610 - Actividades de hospitales y clinicas, con internacion;SERVICIOS;2507354850;154270420;4678477920;2297773740;2380704180;2083725940;89735870;3999124600;$ 2116945060;1882179540;NIIF PLENAS-GRUPO 1
894;890900118;CRISTALERIA PELDAR S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA;C2310 - Fabricación de vidrio y productos de vidrio;MANUFACTURA;6979040720;1214673680;9899178050;4537767860;5361410190;6516282850;887774040;9218543210;$ 4237971310;4980571900;NIIF PLENAS-GRUPO 1
895;860002127;INDUSTRIA COLOMBIANA DE LLANTAS SA;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores;COMERCIO;2532065700;50592290;1529503740;936847350;592656390;2740851930;-119147030;1413536620;$ 871932600;541604020;NIIF PLENAS-GRUPO 1
896;890938020;INPROQUIM SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA-ESTRELLA-ANTIOQUIA;G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario;COMERCIO;2536829820;28259780;758894540;614315280;144579260;2522738130;31151220;895954270;$ 754563510;141390760;NIIF PLENAS-GRUPO 1
897;891900196;INGENIO CARMELITA S.A.;SUPERSOCIEDADES;Costa Pacífica;VALLE;TULUA-VALLE;C1071 - Elaboración y refinación de azúcar;MANUFACTURA;1409906190;-66769580;2133480310;1047215950;1086264360;1498385890;-47409660;2074609360;$ 959708970;1114900390;NIIF PLENAS-GRUPO 1
898;890932279;C.I. IBLU SOCIEDAD POR ACCIONES SIMPLIFICADA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA;G4641 - Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico;COMERCIO;1880298560;32800730;2069083500;1605670840;463412660;1601147200;14925970;1452533570;$ 1019946020;432587550;NIIF PLENAS-GRUPO 1
899;830511110;SKF LATIN TRADE SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;COMERCIO;1561716950;38251910;639831610;502007090;137824520;251471960;17831170;176291850;$ 76719250;99572600;NIIF PYMES-GRUPO 2
900;830122365;PANASONIC DE COLOMBIA S.A.;SUPERSOCIEDADES;Bogotá - Cundinamarca;CUNDINAMARCA;COTA-CUNDINAMARCA;G4690 - Comercio al por mayor no especializado;COMERCIO;1398788200;-9125910;621785710;611012790;10772920;1633933300;-4851220;525725650;$ 505826820;19898830;NIIF PLENAS-GRUPO 1
901;860076919;CREPES Y WAFFLES S.A.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;I5611 - Expendio a la mesa de comidas preparadas;SERVICIOS;3611333690;194213190;1837425520;1027124730;;3441351260;144062920;1691552610;$ 1019565380;671987230;NIIF PYMES-GRUPO 2
902;860072134;HOCOL S.A.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;B0610 - Extracción de petróleo crudo;MINERO-HIDROCARBUROS;14301283120;2171229820;23364680640;8868807930;14495872710;11835542180;-624346450;22789080760;$ 8050423490;14738657,27;NIIF PLENAS-GRUPO 1
903;900882422;Mercaderia SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;CUNDINAMARCA;CHIA-CUNDINAMARCA;G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco;COMERCIO;16480731350;-2157784450;4460106490;5975433830;-1515327340;7724458260;-1639606260;2981299480;$ 3228315370;-247015890;NIIF PLENAS-GRUPO 1
904;830065842;ATENTO COLOMBIA S.A.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;N8220 - Actividades de centros de llamadas (Call center);SERVICIOS;2506325610;-55818870;1295049950;971798890;323251060;2525332470;-15939350;1237904070;$ 859597820;378306250;NIIF PLENAS-GRUPO 1
905;890101553;JANSSEN CILAG SA;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;COMERCIO;3624443230;-20346440;1715328150;779052630;936275520;3338066010;-13732380;1605083350;$ 648461390;956621960;NIIF PLENAS-GRUPO 1
906;890307885;PLASTICOS ESPECIALES SAS;SUPERSOCIEDADES;Costa Pacífica;VALLE;YUMBO-VALLE;C2229 - Fabricación de artículos de plástico n.c.p.;MANUFACTURA;1424548720;42281130;1943017250;916510110;1026507140;1263036090;48715970;1674478690;$ 780038910;894439780;NIIF PLENAS-GRUPO 1
907;900235088;TECPETROL COLOMBIA S.A.S.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;B0610 - Extracción de petróleo crudo;MINERO-HIDROCARBUROS;1362523110;-319518960;1069620750;532429790;537190960;776236580;-244966310;1381770150;$ 566009660;815760490;NIIF PLENAS-GRUPO 1
908;901089852;Agregados Argos S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA;G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción;COMERCIO;1617509480;20977050;523965920;464466040;59499880;576257320;-24028380;327280510;$ 288308890;38971620;NIIF PLENAS-GRUPO 1
909;891401858;OPERADORA AVÍCOLA COLOMBIA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA;A0145 - Cría de aves de corral;AGROPECUARIO;5687977670;113993340;3869847950;1727058340;2142789610;5340389470;-91225060;3745609760;$ 1712476640;2033133120;NIIF PLENAS-GRUPO 1
910;900174478;LOUIS DREYFUS COMPANY COLOMBIA SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;C1061 - Trilla de café;MANUFACTURA;4234607370;-72312280;3535275720;3609816220;-74540500;6229367020;-351142530;2800191720;$ 2784227470;15964250;NIIF PLENAS-GRUPO 1
911;811008963;MULTIENLACE SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA;N8020 - Actividades de servicios de sistemas de seguridad;SERVICIOS;4590893900;387919410;4949358690;1921561280;3027797410;4468863880;203184420;4854833000;$ 2014551780;2840281220;NIIF PLENAS-GRUPO 1
912;830112215;WORLD FUEL SERVICES COMPANY LLC SUCURSAL COLOMBIA;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4731 - Comercio al por menor de combustible para automotores;COMERCIO;1948839460;3958770;637646450;426711650;210934800;1836204600;-3379460;600353560;$ 393377530;206976030;NIIF PYMES-GRUPO 2
913;830010337;SANOFI AVENTIS DE COLOMBIA S.A;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;COMERCIO;8740659450;456976690;6009782530;3046824700;2962957830;7677436620;109679590;5328281750;$ 2824092010;2504189740;NIIF PLENAS-GRUPO 1
914;860513857;COHERPA INGENIEROS CONSTRUCTORES SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;F4210 - Construcción de carreteras y vías de ferrocarril;CONSTRUCCIÓN;1452204670;992193590;4383805150;1312378240;3071426910;301701930;59834190;2743362040;$ 947050460;1796311580;NIIF PLENAS-GRUPO 1
915;900470939;CONSTRUCTORA TUNEL DEL ORIENTE S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA;F4290 - Construcción de otras obras de ingeniería civil;CONSTRUCCIÓN;2638583460;193620410;1562901850;879480490;683421360;1886838960;166200000;1137638680;$ 650319230;487319450;NIIF PLENAS-GRUPO 1
916;800146425;ORGANIZACION SOLARTE Y CIA S.C.A.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;C1051 - Elaboración de productos de molinería;MANUFACTURA;3377174170;106228670;3149839150;1306185570;1843653580;3354326910;152405750;2724513250;$ 910641500;1813871750;NIIF PLENAS-GRUPO 1
